City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kavieng,PG,83.53,overcast clouds,-2.5744,150.7967,Kavieng Hotel
12,Rikitea,PF,76.57,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
15,Kampot,KH,84.25,scattered clouds,10.6167,104.1833,Sambor Sambat Guesthouse
17,Puerto Ayora,EC,72.55,clear sky,-0.7393,-90.3518,Hostal La Mirada De Solitario George
24,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti International Resort
25,Marsh Harbour,BS,75.36,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
29,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,Le Baril
30,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Rajula,IN,82.45,clear sky,21.05,71.4333,Hotel Akshardham
43,Hithadhoo,MV,81.45,overcast clouds,-0.6,73.0833,Pebbles Inn
47,Atuona,PF,78.24,light rain,-9.8,-139.0333,Pearl Resort
48,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
53,Santa Cruz,BO,74.66,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
54,Loikaw,MM,81.72,overcast clouds,19.6742,97.2094,Nawaday Hotel
72,Mar Del Plata,AR,70.09,clear sky,-38.0023,-57.5575,Nuevo Ostende
75,Hilo,US,72.25,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
76,Gizo,SB,82.65,overcast clouds,-8.103,156.8419,Gizo Hotel
78,Khartoum,SD,71.02,clear sky,15.5518,32.5324,تانا للشقق الفندقية
88,Bharatpur,IN,71.26,clear sky,27.2167,77.4833,Pelican
94,Kapaa,US,76.98,clear sky,22.0752,-159.319,Pono Kai Resort
98,Karratha,AU,87.08,clear sky,-20.7377,116.8463,Karratha International Hotel
99,Isangel,VU,80.83,broken clouds,-19.55,169.2667,Tanna Lodge
104,Itarema,BR,77.47,light rain,-2.9248,-39.9167,Pousada Oásis
107,Bredasdorp,ZA,74.35,overcast clouds,-34.5322,20.0403,Victoria Hotel
110,Port Elizabeth,ZA,77.09,scattered clouds,-33.918,25.5701,Waterford Hotel
115,Atambua,ID,80.62,overcast clouds,-9.1061,124.8925,Hotel Matahari
117,Esperance,AU,71.26,clear sky,-33.8667,121.9,Best Western
122,Padang,ID,87.85,light rain,-0.9492,100.3543,losmen Surya
123,Souillac,MU,86.38,few clouds,-20.5167,57.5167,Hotel SkylineInn
126,Morondava,MG,82.6,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
132,Hermanus,ZA,71.8,overcast clouds,-34.4187,19.2345,Aloe guest house
145,Parkes,AU,78.35,light rain,-33.1333,148.1833,Commercial Hotel
146,Sinnamary,GF,74.98,scattered clouds,5.3833,-52.95,Hôtel du fleuve
149,Bengkulu,ID,82.27,overcast clouds,-3.8004,102.2655,Dena Hotel
151,Mount Isa,AU,76.77,light intensity shower rain,-20.7333,139.5,Ibis Styles
167,Tarakan,ID,83.16,overcast clouds,3.3,117.6333,Hotel Dynasty
171,Salinopolis,BR,75.74,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
172,Kuala Lipis,MY,83.84,overcast clouds,4.1842,102.0468,Lipis Plaza Hotel
175,Meulaboh,ID,83.53,scattered clouds,4.1363,96.1285,Hotel Meuligou
178,Yulara,AU,83.1,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
180,Acapulco,MX,74.59,scattered clouds,16.8634,-99.8901,Hotel del Valle
181,San Pedro,PH,83.43,broken clouds,14.35,121.0167,Hotel Takara
183,Caravelas,BR,71.96,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
186,Corn Island,NI,80.11,overcast clouds,12.1694,-83.0418,Sunrise Hotel
188,Salto,UY,72.48,clear sky,-31.3833,-57.9667,Hotel Español Salto
192,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
193,Tual,ID,84.51,overcast clouds,-5.6667,132.75,Suita
200,Kahului,US,73.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
203,Port Macquarie,AU,72.9,overcast clouds,-31.4333,152.9167,The Observatory
206,Sao Filipe,CV,74.66,clear sky,14.8961,-24.4956,Bela Vista
208,Byron Bay,AU,71.94,light rain,-28.65,153.6167,Lord Byron Resort
209,Fare,PF,80.19,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
213,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Tara-Mé
220,Cumana,VE,72.55,clear sky,10.4635,-64.1775,Hotel Regina
223,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Tropic Hotel
225,Vao,NC,79.2,clear sky,-22.6667,167.4833,Nataiwatch
226,Kariba,ZW,77.04,overcast clouds,-16.5167,28.8,Lodge
246,Cape Town,ZA,72.37,few clouds,-33.9258,18.4232,Townhouse Hotel
248,Faanui,PF,80.47,few clouds,-16.4833,-151.75,Oa Oa Lodge
265,Hambantota,LK,88.14,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
268,Plettenberg Bay,ZA,71.89,broken clouds,-34.0527,23.3716,Milkwood Manor
271,Puerto Baquerizo Moreno,EC,71.67,broken clouds,-0.9,-89.6,Dory's House
279,Impfondo,CG,83.52,overcast clouds,1.6381,18.0667,Tropicana
280,Quatre Cocos,MU,86.11,overcast clouds,-20.2078,57.7625,Horisun
285,Namibe,AO,71.49,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
287,Benguela,AO,77.05,overcast clouds,-12.5763,13.4055,Hotel Moibela
291,Mecca,SA,76.1,broken clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
293,Puerto Escondido,MX,75.87,scattered clouds,15.85,-97.0667,Hotel Barlovento
294,Sri Aman,MY,71.65,moderate rain,1.2376,111.4621,Mega Inn
297,Duliagaon,IN,76.87,few clouds,27.3667,95.3167,Hotel Mayuri
299,Alta Gracia,AR,71.89,light rain,-31.6529,-64.4283,The Ritz-Carlton
315,Waingapu,ID,82.56,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
316,Lamu,KE,88.02,overcast clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
322,Batticaloa,LK,81.03,overcast clouds,7.7102,81.6924,Lake View Hotel
323,Concordia,AR,72.18,few clouds,-31.393,-58.0209,D'Charruas
326,Palmas Bellas,PA,75.25,light rain,9.2319,-80.0867,ISHQ AirBnb
331,Sinfra,CI,72.07,scattered clouds,6.6167,-5.9167,Complexe wilson
333,Gaozhou,CN,72.64,clear sky,21.9392,110.8461,维也纳国际酒店
342,Lahaina,US,74.8,clear sky,20.8783,-156.6825,Best Western Pioneer Inn
352,Victoria,HK,72.19,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
358,Makakilo City,US,73.72,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
362,Kaoma,ZM,71.08,light rain,-14.7833,24.8,Pumulo Pardway Lodge
364,Angoche,MZ,82.42,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
371,Sibolga,ID,84.18,scattered clouds,1.7427,98.7792,Hotel Prima Indah
372,Ternate,ID,84.58,light rain,0.8,127.4,Boulivard ternate
390,Mayumba,GA,75.36,moderate rain,-3.432,10.6554,Résidence Hôtelière Fabso
403,Bangassou,CF,75.63,overcast clouds,4.7413,22.8184,Hotel De Tourisme
405,Doha,QA,76.98,few clouds,25.2867,51.5333,Al MIrqab
406,Bull Savanna,JM,71.01,clear sky,17.8868,-77.5902,Junction Guest House
407,Sal Rei,CV,70.0,clear sky,16.1833,-22.9167,Hotel Marine Club
411,Takoradi,GH,80.02,broken clouds,4.8845,-1.7554,Hillcrest
412,Mogadishu,SO,84.07,broken clouds,2.0371,45.3438,SYL Hotel
417,Lorengau,PG,82.83,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
419,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,The Adventures Inn
423,Mahebourg,MU,86.29,few clouds,-20.4081,57.7,Grand Bel Air
429,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Hotel Hero
434,Cockburn Town,TC,79.07,clear sky,21.4612,-71.1419,The Salt Raker Inn
442,Waw,SS,88.95,overcast clouds,7.7029,27.9953,Bahr Gazhal Hotel
443,Kang,BW,79.3,broken clouds,-23.6752,22.7876,Nkisi Guest House
451,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
454,Galle,LK,83.25,scattered clouds,6.0367,80.217,Jungle Hostel Villa
455,Porto Novo,BJ,79.81,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
460,Miri,MY,82.54,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
