City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,54.07,98,100,3.4,overcast clouds
1,Yellowknife,CA,62.456,-114.3525,-32.28,75,75,6.91,light snow
2,Kavieng,PG,-2.5744,150.7967,83.53,74,100,10.69,overcast clouds
3,Kargasok,RU,59.0556,80.8572,2.39,80,100,15.7,overcast clouds
4,Dosso,NE,13.049,3.1937,66.36,27,70,15.66,broken clouds
5,Abonnema,NG,4.7084,6.7931,68.29,68,43,4.81,scattered clouds
6,Yoichi,JP,43.2039,140.7703,34.75,93,100,6.8,light snow
7,Forio,IT,40.7342,13.8646,57.81,92,14,1.99,few clouds
8,Berlevag,NO,70.8578,29.0864,24.8,80,75,9.22,light snow
9,Zhuhai,CN,22.2769,113.5678,72.86,45,0,6.91,clear sky
10,Albany,US,42.6001,-73.9662,43.43,95,100,5.01,heavy intensity rain
11,Nanortalik,GL,60.1432,-45.2371,21.04,68,2,7.05,clear sky
12,Rikitea,PF,-23.1203,-134.9692,76.57,80,98,9.55,overcast clouds
13,Thompson,CA,55.7435,-97.8558,-12.84,64,20,11.5,few clouds
14,Saint George,US,37.1041,-113.5841,43.95,52,100,1.01,overcast clouds
15,Kampot,KH,10.6167,104.1833,84.25,52,38,12.03,scattered clouds
16,Pimentel,PE,-6.8367,-79.9342,67.95,88,100,9.98,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,6,1.99,clear sky
18,Saskylakh,RU,71.9167,114.0833,-14.42,92,33,8.25,scattered clouds
19,Ribeira Grande,PT,38.5167,-28.7,59.4,58,40,18.41,light rain
20,Pilar,BR,-9.5972,-35.9567,73.33,91,33,4.54,scattered clouds
21,Torbay,CA,47.6666,-52.7314,29.26,88,40,11.5,scattered clouds
22,Usinsk,RU,65.9939,57.5281,9.84,95,100,10.83,light snow
23,Dikson,RU,73.5069,80.5464,-8.82,95,100,12.46,overcast clouds
24,Vaini,TO,-21.2,-175.2,78.96,89,20,5.75,light rain
25,Marsh Harbour,BS,26.5412,-77.0636,75.36,86,100,12.8,overcast clouds
26,Evensk,RU,61.95,159.2333,22.77,40,6,20.92,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,46.51,66,100,36.82,overcast clouds
28,Tura,IN,25.5198,90.2201,73.74,41,11,4.21,few clouds
29,Saint-Philippe,RE,-21.3585,55.7679,83.79,70,86,13.11,overcast clouds
30,Avarua,CK,-21.2078,-159.775,77.05,83,40,6.91,scattered clouds
31,Sorland,NO,67.667,12.6934,37.26,66,99,35.54,light rain
32,Zapolyarnyy,RU,69.4154,30.8136,11.48,96,100,3.62,overcast clouds
33,Port Lincoln,AU,-34.7333,135.8667,65.23,66,0,15.66,clear sky
34,Ekhabi,RU,53.5102,142.9671,27.52,95,100,17.92,light snow
35,Medea,DZ,36.2642,2.7539,47.84,80,10,3.24,clear sky
36,Churapcha,RU,62.0025,132.4325,-29.16,100,59,0.31,broken clouds
37,Lavrentiya,RU,65.5833,-171.0,13.08,87,4,14.83,clear sky
38,Araouane,ML,18.9048,-3.5265,60.67,31,0,9.66,clear sky
39,Arraial Do Cabo,BR,-22.9661,-42.0278,70.84,79,21,6.08,few clouds
40,Rajula,IN,21.05,71.4333,82.45,20,0,5.95,clear sky
41,Ushuaia,AR,-54.8,-68.3,46.06,87,100,35.68,moderate rain
42,Ocampo,MX,21.65,-101.5,47.28,49,1,2.77,clear sky
43,Hithadhoo,MV,-0.6,73.0833,81.45,72,100,15.79,overcast clouds
44,Busselton,AU,-33.65,115.3333,84.4,37,5,10.8,clear sky
45,Bonthe,SL,7.5264,-12.505,74.73,83,29,5.37,scattered clouds
46,Hovd,MN,48.0056,91.6419,10.89,86,68,3.06,broken clouds
47,Atuona,PF,-9.8,-139.0333,78.24,80,14,16.33,light rain
48,Port Blair,IN,11.6667,92.75,86.04,70,40,9.22,scattered clouds
49,Castro,BR,-24.7911,-50.0119,55.29,84,94,9.6,overcast clouds
50,Yamethin,MM,20.4333,96.15,88.45,35,12,5.3,few clouds
51,Tasiilaq,GL,65.6145,-37.6368,14.16,68,1,4.76,clear sky
52,Port Alfred,ZA,-33.5906,26.891,77.18,73,40,4.0,scattered clouds
53,Santa Cruz,BO,-17.8,-63.1667,74.66,94,9,5.75,clear sky
54,Loikaw,MM,19.6742,97.2094,81.72,37,95,4.29,overcast clouds
55,Kamennogorsk,RU,60.9545,29.1339,35.56,100,100,6.04,overcast clouds
56,Guerrero Negro,MX,27.9769,-114.0611,57.67,74,8,5.01,clear sky
57,Ajdabiya,LY,30.7554,20.2263,64.67,66,15,9.1,light rain
58,Ponta Do Sol,PT,32.6667,-17.1,65.71,81,20,4.0,few clouds
59,Cidreira,BR,-30.1811,-50.2056,68.94,81,0,18.05,clear sky
60,Talcahuano,CL,-36.7167,-73.1167,53.28,82,0,3.44,clear sky
61,Kanigoro,ID,-8.13,112.219,76.66,90,100,7.49,overcast clouds
62,Dingle,PH,10.9995,122.6711,76.03,91,100,16.02,light rain
